Model,Fold,Spearman,Pearson
en+rf+xgb,1,0.44058447359393565,0.5313207737862079
en+rf+xgb,2,0.45547493194850175,0.43351105759947617
en+rf+xgb,3,0.5551900997703834,0.5885450539147322
en+rf+xgb,4,0.5250143910017918,0.5471302028546059
en+rf+xgb,5,0.54151172843996,0.6095446242083589
