Model,Fold,Spearman,Pearson
rf+xgb,1,0.4375570810423358,0.5351614079854901
rf+xgb,2,0.4252630458396329,0.4229722030169092
rf+xgb,3,0.5148879539857234,0.5600960156321432
rf+xgb,4,0.5345022572317987,0.5610486211146134
rf+xgb,5,0.5349501822469491,0.6171440190142843
