Peak,Weight
SEC61G,0.013653843364577287
VOPP1,0.011506919044349695
TMPRSS11E,0.010939500189369926
GPR87,0.010833288379738142
EGFR,0.010121515619698767
IRF6,0.009631883595999088
C1orf116,0.008320207749830525
GJB3,0.008257853404810712
GBP6,0.008176993533871755
FGFBP1,0.007590515217079488
GJB5,0.007386890914825972
MRPS17,0.007364948258793258
UGT1A3,0.007281744426379342
SCEL,0.0071886751139213
MKNK1,0.006964243867390766
TMEM265,0.006892326450391192
MOB3C,0.0065702295186192165
SERPINB5,0.006132334664142208
AP1M1,0.0060979651416071855
TRIM29,0.005993182311291689
PROM2,0.005961708743524803
CRYBG2,0.005722288769497728
FAM83A,0.005666188613434236
KRT6A,0.005642983964922067
CAPN1,0.005604384970854158
PMM1,0.005438078174401918
SOX15,0.005428820699026351
CTSV,0.005233454265627935
MPZL2,0.005127116530720759
HCAR3,0.005046923505616288
UNC13D,0.0049913925780009395
TXLNA,0.004970243317134732
MBD3,0.004921276783724839
KLK7,0.004715060854794135
MUC16,0.0046671437858958565
TERF2IP,0.004582926466441396
LYPD3,0.004580766489844818
RNASE7,0.0044472507459853644
LAD1,0.00441502165552234
ITGB6,0.004408117353297564
TACSTD2,0.004355307714362818
DSC2,0.004343007510216804
PERP,0.00429829197523759
DSC3,0.004253423379054802
TTC22,0.00425300743249064
DDR2,0.004250060915524304
TP63,0.004147472314055863
AGPAT1,0.0040816258609831044
IL18,0.004077238486202027
TMEM102,0.003994229875657975
GDI1,0.003903886628450212
IVL,0.0037713465147660914
PTAFR,0.003734151602721461
ANXA8L1,0.003704647153587156
PPP1R14C,0.0036413410015698503
ASNSD1,0.0036110246691633176
DPYSL2,0.003549234872949574
SLC39A2,0.0035280005375880326
ITGB4,0.003475116158444595
DSG2,0.0034606863401186977
EPHA1,0.0034204092775147925
FRRS1,0.0033992364541463
JUP,0.0033856779454659314
DUOX2,0.003361908420618896
MUC22,0.0033147285489156858
WNT7B,0.0032694282599843227
RNF14,0.0032610761621272694
FRK,0.0032599564876076965
KRT16,0.0032403912526331284
KLC3,0.00319103907320876
GRK4,0.0031810746785550003
PDXP,0.0031573546418373006
HCAR2,0.003157335475566717
CSTA,0.0031528439220065
BTC,0.003113891546374054
FAT2,0.003103795176960659
NECTIN4,0.0030759043243872757
IQANK1,0.0030067639198952862
COPS8,0.0029765338634019822
ADGRF1,0.002919718838984173
CDH3,0.0029186001772247157
YBX3,0.002865985960589916
UGT1A4,0.0028620391367937055
CAB39,0.002844533394212589
MTRNR2L1,0.0028015451512635
PRR5-ARHGAP8,0.0027950532411159896
EVPL,0.0027766195396781573
DPY19L2,0.002770266900846821
GSDMC,0.002755856731100377
AC005943.1,0.002752376821801538
C1orf74,0.002749970403994702
GJB2,0.002747339192800371
SAP30,0.002743373042495853
SSH3,0.002717057365757312
CUTA,0.0027149715914900445
KRT7,0.0026908739950247183
CLDN1,0.0026809635008385496
LAMC2,0.0026790006699905777
C19orf44,0.00267331375989629
TCTA,0.0026660824631359993
KCTD20,0.0026655510031883263
FZR1,0.0026442816311573365
GJB4,0.002640853585241548
PIP5K1C,0.0026253292399728663
C6orf89,0.0026223395816272017
CRB3,0.002608532460367555
TNPO2,0.0026001424174591065
RPS6KA4,0.002592023256737624
SYTL1,0.002589101601650269
PRKACA,0.0025784212141653578
FAAP20,0.0025490795018503947
FAM83B,0.002546127772320273
GALNT3,0.0025331774446579465
PTHLH,0.0025306769299710684
CLPP,0.002529593893591465
ARAP2,0.0025293659919677735
SACS,0.002524671104237583
IFNGR1,0.002502105337138796
TTC3,0.00249786620183857
FERMT1,0.0024973860730778353
MOB3B,0.002489589180560524
DHX32,0.002476815490048386
ARL3,0.002454452403763831
ARHGEF5,0.0024530879748747188
ZNF165,0.0024392678002979357
PHC2,0.0024363103425322527
SFN,0.0024273533505160525
STXBP2,0.002424408523975841
HARS1,0.0024010339894369533
ANXA6,0.0023972390285082086
VKORC1,0.002367104322625369
F11R,0.002364416022418492
LTBR,0.00235763193996774
RHOD,0.0023572185411851756
KRT17,0.0023546598967430603
P2RY2,0.002344557900155759
GALNT12,0.0023388630055072575
LAMB3,0.002291125996801251
ESRP2,0.002274114920781513
STK3,0.002249688037272588
ZNF576,0.0022391709043588317
MTRNR2L11,0.002212625440786479
EPCAM,0.002203987804104986
PACSIN3,0.002188566774670823
ZNF441,0.0021842070284621576
CDK5,0.0021793744070607475
HCFC2,0.0021632184630592712
TXNDC15,0.002149023332652853
GRHL2,0.0021405781432166735
CBLC,0.0021381865583217827
S100A11,0.002112150937500166
CNKSR1,0.0021114928898032926
BAP1,0.0020998293878758266
SERPINB13,0.002097764000744051
KCNK1,0.0020893460668216578
PGLYRP4,0.0020876781687896
MLLT1,0.0020606735109717908
BACE1,0.0020506267681889997
UBE2J2,0.002013974094928263
