Peak,Weight
IRF6,0.011935626763576497
VOPP1,0.009379068615026031
RNASE7,0.009237502765253269
EGFR,0.008968016337845606
GJB3,0.008671124820712165
LAD1,0.008333601676217613
MUC22,0.00805343197862471
FAM83A,0.00785814027176766
MRPS17,0.007493159196364309
C1orf116,0.0073758334805837725
EPHA1,0.007104517433493817
SH2D3A,0.007012306284323488
ITGB6,0.006994704530440508
GPR87,0.006860722909530897
SEC61G,0.006159868397612234
GJB5,0.0056641783569468356
ASNSD1,0.005628434239374734
DDR2,0.005451857392874559
C1orf74,0.0054417582107742345
CTSV,0.005338705522972397
COPS8,0.005188030557940318
INAVA,0.005171923014418982
UGT1A3,0.005023112339133718
WNT7B,0.004984283336381791
KRT16,0.004850064011656713
ELK1,0.004777451748958011
TMPRSS11E,0.0047590282997211145
MKNK1,0.004697986841727842
GBP6,0.00467313514240878
SCEL,0.004558633543817368
TNKS1BP1,0.00442956101229017
TMEM265,0.004392837185124826
IFNGR1,0.004348627672101306
MOB3C,0.004344285049377079
TP63,0.004307758180914182
GMPPB,0.0042790957199425
LPAR5,0.004240505192376924
STXBP2,0.004228490514086825
KRT6A,0.004172980505194291
GJB2,0.004141973805171237
KCNK1,0.0040929392532307145
JUP,0.004084948001357433
TXNDC15,0.004035779652020269
TACSTD2,0.0040240973724947485
UNC13D,0.003972495818124899
CEACAM6,0.003945710589243521
MPZL2,0.003868541782952277
ANXA6,0.0038357190724403116
DHX30,0.0037544886066999596
CXCL16,0.0036529221078983316
DSC2,0.0036369435798698584
KLF5,0.0036316683998630066
SERPINB13,0.0036132933565327526
TTC22,0.003605643395953055
FAT2,0.003601101973828508
CDH3,0.0035952702530303183
KRT80,0.0035733329584170283
KRT17,0.0035698985808914198
BTC,0.0035220436332698336
JMJD7,0.00348462595699302
FGFBP1,0.0034814624703294844
SGCB,0.003464982119879217
MBD3,0.003456369928051361
TXLNA,0.0034326629350496375
F11R,0.0034249387332405358
TNK1,0.0033536332223250455
CDS1,0.0033422645119501144
AC008758.6,0.0033044338221104234
IP6K1,0.0032650103093426397
KRT7,0.0031973292214176685
CAPN1,0.003188218263293415
PRRG4,0.0031736023984699855
EVPL,0.003142403458054841
CDK5,0.0031173078108942503
GSDMC,0.003113917652543018
ANXA8L1,0.0031124328565940575
P2RY2,0.0030902414295967185
TRIM29,0.003069592386783463
C6orf89,0.0030350298779328023
TERF2IP,0.0030035913962890635
DSC3,0.002994503851503776
GJB4,0.002983172676696411
ARAP2,0.0029660391728681453
DUOX2,0.0029376460635443954
C4orf36,0.002917705440155659
LIX1L,0.002914761717151993
AGPAT1,0.0028762046104534216
ZNF576,0.002854145797465878
KLC3,0.0028363293585484655
RASA3,0.0028162944241939274
MYO1B,0.002802744227961705
FAM229B,0.0027945917805122806
PPP1R14C,0.0027934576893063785
TMEM102,0.0027915686606670154
CDH1,0.002750467343775465
USP43,0.002730139469357795
KRT19,0.002698481318804299
IL18,0.0026971588831552346
AP1M1,0.0026959235018239867
CERS3,0.0026937750179937396
UGT1A4,0.002692847931094666
STK3,0.0026738318739184543
KRBOX4,0.0026707013368239348
SOX15,0.0026653402401521993
PERP,0.0026609085868537687
S100A14,0.0026463203029304704
FRK,0.0026311310614233275
STX2,0.002627052013053392
IQANK1,0.0026192095739942804
MAP3K3,0.0026166361228551344
CCDC88A,0.0026144103435764513
FBXL7,0.0026136824223459646
BEND6,0.002576570223354523
TNFRSF21,0.0025628589666653965
KLK7,0.002548248156463667
DSG2,0.002527074313736386
CLPP,0.0025257842577754287
SGTA,0.00252480207215619
WDR66,0.0024842061773007705
CDKN2C,0.00247758062220469
ST14,0.002455109572986032
XDH,0.0024316062758182808
TMEM184A,0.002430388819448229
OVOL1,0.00242879930771945
LTBR,0.002427274562227527
GLT8D1,0.0024248669432445085
GRHL2,0.0024160712638040304
LYPD3,0.002406763356159624
NBPF9,0.0024039142419852084
TMEM263,0.0024009833570448925
PKP3,0.002384682424887701
SYTL1,0.002380913736911391
RHOD,0.002367863436005633
PRAF2,0.0023660975097179898
MOCS1,0.002335908931357726
CRB3,0.0023304070742106073
COL17A1,0.0023277062561230617
YBX3,0.0023161596717029883
SLC35A4,0.002315444938576396
EPCAM,0.0023060593722480536
C10orf95,0.002300023893161582
PHTF1,0.0022986955906260645
GNB1,0.0022975237843709177
CAPN7,0.0022857168502168545
SMIM11A,0.002281510947586397
ADGRF1,0.0022723956629960972
GDI1,0.0022662416906126547
PDXP,0.002259201508335198
CNTNAP1,0.0022472287367703743
GPANK1,0.002240370193314311
USP11,0.0022356304317325813
HCAR3,0.002219873580135949
BACE1,0.0022169537612552353
NRARP,0.002213134775359254
ALS2CL,0.0022050755218260636
EPS8L2,0.0021872779409794875
BAP1,0.0021766270977404845
ESRP2,0.0021701072154793107
TMC4,0.002163234698008809
NDFIP2,0.002161683715300672
OGG1,0.0021541699322786775
MTRNR2L11,0.0021505727039874004
GALNT12,0.0021489036685330472
TTC3,0.0021461454405190612
MAP3K9,0.0021422116300911006
DPYSL2,0.00212909451545673
CHMP4C,0.002110139299998861
FAM83B,0.002110046816563259
HARS1,0.0020848665944418246
PRADC1,0.0020776178653562445
FZR1,0.002077264316627258
LAMB3,0.0020748613721146714
ZC3H12A,0.0020747061869081647
SZRD1,0.002071098940950803
CRYBG1,0.002067382422288018
ATP8B2,0.002052931041170459
JAM3,0.002051747595205719
DUOXA1,0.002042446142345504
PIN1,0.0020411634456921936
PLXNB2,0.0020406098268504515
CRYBG2,0.0020395402876431158
PTHLH,0.0020383314186173873
VKORC1,0.0020374148230465007
RNF141,0.0020261145627645193
SH3BP1,0.0020257206333054484
GALNT3,0.0020105378857884996
EID2B,0.002010256707553879
SAP30,0.002008617903058153
LGALS9C,0.00200615691767375
ELP6,0.0019986299833131115
RXRA,0.00199707201883745
TMEM159,0.00197134244137841
ITGB4,0.001967111951185495
ARHGAP31,0.001966864903872435
NIPAL1,0.0019644502179349678
S100A2,0.001958237137955758
CNPY4,0.001949437018705229
PARK7,0.0019419119249415994
ARL3,0.0019386077729304924
ACSF2,0.001933236548944589
PTPRU,0.001931876109212503
NRSN2,0.0019250797681614543
FAM110C,0.0019143342326170302
DHX32,0.0019094648229733974
SLCO1B3-SLCO1B7,0.0019032359942580265
NDUFA11,0.0018926407656553346
GRK4,0.0018917204540016786
RNF14,0.0018838818520830458
CUTA,0.0018813573220549937
DYNC1LI1,0.001879714351901823
MBLAC1,0.0018715964908107966
KCTD20,0.0018691255683687266
GET1,0.0018575745954554745
MTRNR2L1,0.0018507744755418437
SERINC2,0.00184685757173507
