Model,Fold,Spearman,Pearson
Linear,1,0.16514979607280156,0.2842224136883135
Linear,2,0.37989986437942075,0.35375086132811023
Linear,3,0.26720022804599586,0.4015370067142576
Linear,4,0.33431679405580367,0.4301153317604285
Linear,5,0.24743599948493225,0.270809588266129
