Peak,Weight
CBLC,-0.0
CAST,0.0
CAPN7,-0.0
B3GALT4,0.0
ASNSD1,-0.0
ARTN,0.0
ARL3,-0.0
ARIH2,-0.0
ARHGEF5,-0.0
ARHGAP31,-0.0
ARAP2,0.0
APC,-0.0
AP1M2,-0.0
AP1M1,-0.0
ANXA8L1,0.0
ANXA6,-0.0
AMPD2,-0.0
ALS2CL,0.0
AGPAT1,-0.0
ADRB2,-0.0
ADGRF4,0.0
ADGRF1,-0.0
ACSF2,0.0
AC011473.4,0.0
AC008758.6,-0.0
AC008687.8,0.0
AC005943.1,-0.0
ATP8B2,-0.0
B3GAT3,-0.0
CAPN1,0.0
B3GNT3,-0.0
CAB39,0.0
C6orf89,-0.0
C5orf24,-0.0
C4orf36,-0.0
C1QTNF6,0.0
C1orf74,0.0
C1orf216,-0.0
C1orf116,-0.0
C19orf53,-0.0
C19orf44,-0.0
C19orf33,-0.0
C17orf80,-0.0
C16orf74,0.0
C12orf54,0.0
C10orf95,0.0
BTN2A1,-0.0
BTC,0.0
BLCAP,-0.0
BICDL2,-0.0
BEND6,-0.0
BAP1,0.0
BAIAP2,-0.0
BACE1,-0.0
DSC3,0.0
ZSCAN26,-0.0
DTX4,0.0
ITGA6,0.0
IQANK1,0.0
IPO13,-0.0
IP6K1,-0.0
INAVA,0.0
IL18,0.0
IFNGR1,0.0
HES2,-0.0
HDGFL2,-0.0
HCFC2,-0.0
HCAR3,0.0
HCAR2,0.0
HARS1,-0.0
GSDMC,0.0
GRK4,-0.0
GRHL2,0.0
GRHL1,0.0
GPR87,0.0
GPANK1,-0.0
GNAI2,-0.0
GMPPB,-0.0
GLT8D1,-0.0
DUOX2,-0.0
GJB4,-0.0
IRF6,0.0
ITGB6,0.0
GJB2,0.0
IVL,-0.0
LAD1,0.0
KRTCAP3,0.0
AC005324.3,0.0
KRT7,0.0
KRT16,-0.0
KRBOX4,-0.0
KLK8,-0.0
KLK7,0.0
KLF5,0.0
KLF3,0.0
KLC3,0.0
KIAA1522,-0.0
KDF1,-0.0
KCTD7,-0.0
KCTD20,0.0
KCNK1,0.0
KATNAL1,-0.0
JUP,0.0
JMJD7,-0.0
JMJD6,-0.0
JAZF1,-0.0
JAM3,-0.0
JAG2,0.0
GJB3,0.0
GJB5,0.0
FAM114A2,-0.0
FAM193A,-0.0
FAM160A1,-0.0
EID1,0.0
FAM156A,-0.0
GET1,-0.0
FAM110C,0.0
EID2B,-0.0
FAM110A,0.0
FAAP20,-0.0
F11R,0.0
EXOG,-0.0
EVPL,0.0
ESRP2,0.0
EIF2B3,-0.0
ESRP1,0.0
EQTN,0.0
EPS8L2,0.0
EPHA1,0.0
EPCAM,-0.0
EMP3,-0.0
ELP6,-0.0
ELF3,-0.0
EHF,0.0
FAM229B,-0.0
ELK1,-0.0
FAM83A,0.0
DUOXA1,0.0
GBP6,0.0
GALNT3,0.0
GALNT12,0.0
FZR1,-0.0
DXO,-0.0
FXYD3,-0.0
FUT3,0.0
FRRS1,0.0
FRK,0.0
FMNL3,-0.0
FKBP7,-0.0
FGD1,-0.0
FERMT1,-0.0
FBXL7,-0.0
FAT2,0.0
DYNC1LI1,0.0
FAM83H,0.0
FAM83B,0.0
ELMO3,0.0
KRT17,-6.63903445704691e-07
GPRC5A,-1.1138540603473744e-06
CD99L2,-1.1934601416152911e-06
LAMB3,-1.4624068361942486e-06
VIM,-2.1955175579649006e-06
SDC4,-2.2567048870965605e-06
LAMA5,-2.9039638332158046e-06
TUBB,-3.2043202203019758e-06
ITGB4,-4.943831557126678e-06
TTC3,-1.5129412273941603e-05
GNB1,-2.9964325861042248e-05
GDI1,-4.2176123107767894e-05
MYDGF,-4.2965140359634966e-05
COPA,-4.4366152744140295e-05
