Model,Fold,Spearman,Pearson,alpha,max_iter
LASSO,1,0.38029056801264327,0.4625615136095508,1,500
LASSO,2,0.30256149950651956,0.41180723293061644,1,500
LASSO,3,0.4391997320041713,0.5453871845802039,1,500
LASSO,4,0.42982662342267414,0.49896412890084035,0.1,1000
LASSO,5,0.4458852904947652,0.5128001314968977,1,500
