Model,Fold,Spearman,Pearson,alpha,max_iter
Ridge,1,0.13362246836797476,0.24517211577715697,100,500
Ridge,2,0.4032036886231177,0.3732279651279048,100,500
Ridge,3,0.3181470711948323,0.33793251060743357,100,500
Ridge,4,0.2812802511462029,0.3758750921059128,100,500
Ridge,5,0.2400581932436511,0.24466952869444358,100,500
