Model,Fold,Spearman,Pearson,alpha,l1_ratio,max_iter
ElasticNet,1,0.34606416294605463,0.41155235383902117,10,0.5,1000
ElasticNet,2,0.39011320164331714,0.42015814956090114,1,0.5,1000
ElasticNet,3,0.526304489082618,0.5888007397996451,1,0.5,1000
ElasticNet,4,0.43093162852203315,0.5013319060820902,0.1,0.8,1000
ElasticNet,5,0.44804162372885764,0.5055516765237179,1,0.8,1000
