Model,PSet,Fold,Spearman,Pearson
Random Forest,,1,0.3242947460344039,0.36993787207817147
Random Forest,,2,0.4268242632099374,0.33119179965249484
Random Forest,,3,0.47536812919016647,0.5123818657335403
Random Forest,,4,0.48367816860854423,0.44950979764302373
Random Forest,,5,0.5317665829657139,0.5482184556464688
